t_sec,sent_total,done_total,ok_total,err_total,sent_rps,done_rps,inflight,avg_latency,p50_latency,p95_latency
1.0,107,107,0,107,106,107,0,0.000655,0.000631,0.001379
2.0,213,213,0,213,106,106,0,0.000569,0.000593,0.000984
3.0,320,320,0,320,107,107,0,0.000644,0.000605,0.001329
4.0,427,427,0,427,107,107,0,0.000616,0.000599,0.001114
5.0,533,533,0,533,106,106,0,0.000609,0.000607,0.000950
6.0,640,640,0,640,107,107,0,0.000701,0.000672,0.001181
7.0,746,746,0,746,106,106,0,0.000677,0.000655,0.001048
8.0,852,852,0,852,106,106,0,0.000566,0.000594,0.000924
